name,ring,quadrant,status,description
AI Governance Framework,assess,techniques,new,"<p><strong>AI Governance Frameworks</strong> address the unique risks and ethical considerations of artificial intelligence in government. The <a href=""https://www.industry.gov.au/publications/australias-artificial-intelligence-ethics-framework"">Australian Government's AI Ethics Principles</a> provide foundational guidance.</p><p>Government AI use requires transparency, accountability, and human oversight. Consider bias, explainability, and privacy implications. Some jurisdictions are developing specific AI procurement and use policies.</p><p>We're assessing governance frameworks for AI adoption in government contexts. Ensure alignment with emerging regulations and community expectations around government AI use.</p>"
Quantum-Safe Cryptography Planning,assess,techniques,new,"<p><strong>Quantum-Safe Cryptography Planning</strong> prepares organisations for the cryptographic implications of quantum computing. Future quantum computers may break current public key cryptography.</p><p>The <a href=""https://www.cyber.gov.au/resources-business-and-government/essential-cyber-security/ism/cyber-security-guidelines/guidelines-cryptography"">ASD Cryptographic Guidelines</a> have begun addressing post-quantum considerations. Organisations should inventory cryptographic usage and monitor <a href=""https://csrc.nist.gov/projects/post-quantum-cryptography"">NIST post-quantum standard development</a>.</p><p>Begin planning for cryptographic agility - the ability to transition to new algorithms when required. This is particularly important for systems with long data retention requirements.</p>"
GovCMS,adopt,platforms,no change,"<p><strong><a href=""https://www.govcms.gov.au/"">GovCMS</a></strong> is the Australian Government's whole-of-government content management platform built on Drupal. It provides a secure, compliant foundation for government websites and digital services.</p><p>GovCMS handles security patching, hosting, and compliance, allowing agencies to focus on content and user experience. The platform meets IRAP requirements and provides WCAG 2.1 AA accessibility compliance.</p><p>For new government websites, GovCMS should be the default choice unless specific requirements preclude its use. The platform reduces duplication of effort and security burden across government.</p>"
Microsoft 365 Government,adopt,platforms,no change,"<p><strong><a href=""https://www.microsoft.com/en-au/microsoft-365/government"">Microsoft 365 Government</a></strong> provides productivity and collaboration tools configured for Australian Government requirements. The PROTECTED-certified offering enables secure document collaboration and communication.</p><p>Queensland Government has established whole-of-government agreements for M365. The platform supports Essential Eight controls including application control and Microsoft Defender integration.</p><p>Implement appropriate Information Barriers, DLP policies, and sensitivity labels aligned with data classification requirements. Leverage <a href=""https://learn.microsoft.com/en-us/microsoft-365/compliance/compliance-manager"">Compliance Manager</a> for ISM control mapping.</p>"
AWS GovCloud Australia,adopt,platforms,no change,"<p><strong><a href=""https://aws.amazon.com/compliance/australia-irap/"">AWS Australia (Sydney and Melbourne regions)</a></strong> provides IRAP-assessed cloud services suitable for Australian Government workloads up to PROTECTED classification.</p><p>AWS provides compliance documentation and control mappings for ISM and Essential Eight. The <a href=""https://aws.amazon.com/compliance/shared-responsibility-model/"">shared responsibility model</a> requires agencies to implement customer-side controls appropriately.</p><p>Use <a href=""https://aws.amazon.com/controltower/"">AWS Control Tower</a> and <a href=""https://aws.amazon.com/security-hub/"">Security Hub</a> for governance at scale. Implement landing zones that encode security and compliance requirements.</p>"
Azure Government Australia,adopt,platforms,no change,"<p><strong><a href=""https://azure.microsoft.com/en-au/explore/global-infrastructure/government/"">Microsoft Azure Australia</a></strong> regions provide IRAP-assessed cloud services with PROTECTED certification. Azure integrates well with Microsoft 365 Government for hybrid workloads.</p><p><a href=""https://learn.microsoft.com/en-us/azure/governance/policy/overview"">Azure Policy</a> and Blueprints enable enforcement of ISM-aligned configurations. The Australia Central regions provide additional data sovereignty assurance for sensitive workloads.</p><p>Leverage Azure's regulatory compliance dashboard for continuous ISM compliance monitoring. Implement <a href=""https://learn.microsoft.com/en-us/azure/defender-for-cloud/defender-for-cloud-introduction"">Defender for Cloud</a> for security posture management.</p>"
SAP S/4HANA Government,trial,platforms,no change,"<p><strong><a href=""https://www.sap.com/australia/products/erp/s4hana.html"">SAP S/4HANA</a></strong> is used across Australian Government for finance, HR, and procurement functions. Queensland Government's <a href=""https://www.forgov.qld.gov.au/information-and-communication-technology/qgea-policies-standards-and-guidelines"">QGEA</a> includes SAP as a strategic platform for corporate systems.</p><p>Cloud migration paths for SAP require careful consideration of data sovereignty, integration patterns, and compliance requirements. RISE with SAP offerings are being evaluated for government use.</p><p>Plan SAP modernisation with clear understanding of data classification, integration requirements, and exit strategies. Consider ISM implications of cloud-hosted SAP environments.</p>"
ServiceNow Government,trial,platforms,moved in,"<p><strong><a href=""https://www.servicenow.com/solutions/industry/government.html"">ServiceNow</a></strong> provides IT Service Management and workflow automation capabilities. Government-specific offerings address compliance and security requirements for public sector use.</p><p>ServiceNow's GRC module can support ISM compliance tracking and risk management. Integration with security tools enables automated incident response workflows.</p><p>We're expanding ServiceNow use for ITSM and security operations. Evaluate data residency options and ensure appropriate access controls for sensitive workflow data.</p>"
Salesforce Government Cloud,trial,platforms,no change,"<p><strong><a href=""https://www.salesforce.com/au/solutions/industries/government/overview/"">Salesforce Government Cloud</a></strong> provides CRM and citizen engagement capabilities configured for government requirements. The platform supports case management, licensing, and citizen service delivery.</p><p>Australian Government deployments require careful consideration of data residency - Salesforce's Australian data centres address sovereignty requirements for appropriate classifications.</p><p>Implement appropriate sharing rules, field-level security, and audit logging aligned with privacy and security requirements.</p>"
OpenShift Container Platform,trial,platforms,new,"<p><strong><a href=""https://www.redhat.com/en/technologies/cloud-computing/openshift"">Red Hat OpenShift</a></strong> provides enterprise Kubernetes for containerised workloads. The platform's security features including built-in admission control and security context constraints support government security requirements.</p><p>OpenShift's operator model simplifies deployment of compliant configurations. The platform is available on major cloud providers and on-premises for sensitive workloads.</p><p>We're evaluating OpenShift for containerised government workloads. The platform's security posture and Red Hat's government experience make it suitable for assessment.</p>"
Legacy Mainframe Systems,hold,platforms,no change,"<p><strong>Legacy Mainframe Systems</strong> continue to run critical government functions but present modernisation challenges. Skills scarcity, integration complexity, and technical debt accumulate over time.</p><p>While mainframes remain reliable, new development should target modern platforms. Plan incremental modernisation through strangler patterns and API facades rather than risky big-bang replacements.</p><p>Maintain mainframe security patching and access controls. Document institutional knowledge before retirement of skilled staff.</p>"
.NET Core / .NET 6+,adopt,languages & frameworks,no change,"<p><strong><a href=""https://dotnet.microsoft.com/en-us/"">NET 6+</a></strong> is the modern, cross-platform evolution of the .NET framework. It provides strong security features, good performance, and alignment with Microsoft's government ecosystem.</p><p>For organisations with Microsoft investments, .NET provides natural integration with Azure Government and Microsoft 365. The framework supports Essential Eight application control through code signing.</p><p>Migrate legacy .NET Framework applications to .NET 6+ for continued support and security updates. New development should target the latest LTS release.</p>"
Java (LTS versions),adopt,languages & frameworks,no change,"<p><strong>Java LTS versions</strong> (17, 21) provide stable, secure foundations for enterprise government applications. Java's maturity, security track record, and ecosystem make it suitable for critical systems.</p><p>Government Java deployments should use vendor-supported distributions (<a href=""https://developers.redhat.com/products/openjdk/overview"">Red Hat</a>, <a href=""https://www.azul.com/downloads/"">Azul</a>, <a href=""https://www.oracle.com/java/"">Oracle</a>) that provide security patches and support agreements.</p><p>Maintain currency with LTS versions and establish rapid patching processes for security vulnerabilities. The Essential Eight patching requirements apply to Java runtimes.</p>"
Python for Data and Automation,adopt,languages & frameworks,no change,"<p><strong><a href=""https://www.python.org/"">Python</a></strong> is widely used in government for data analysis, automation, and machine learning. Its accessibility makes it valuable for analysts and data scientists across agencies.</p><p>For production systems, implement proper dependency management, security scanning, and code review processes. Python's flexibility requires disciplined practices to maintain security.</p><p>Use virtual environments and lock dependency versions. Scan dependencies against vulnerability databases and update promptly when issues are identified.</p>"
React with TypeScript,adopt,languages & frameworks,moved in,"<p><strong><a href=""https://react.dev/"">React</a> with <a href=""https://www.typescriptlang.org/"">TypeScript</a></strong> provides a robust foundation for government web applications. TypeScript's type safety reduces errors and improves maintainability of citizen-facing services.</p><p>Combine with the Australian Government Design System for consistent, accessible user experiences. The Design System provides React components that meet WCAG 2.1 AA requirements.</p><p>Implement Content Security Policy headers and ensure proper handling of user input to prevent XSS vulnerabilities in React applications.</p>"
Australian Government Design System,adopt,languages & frameworks,no change,"<p><strong><a href=""https://design-system.agriculture.gov.au/"">Australian Government Design System (AGDS)</a></strong> provides accessible, consistent UI components for government digital services. Compliance with AGDS helps meet <a href=""https://www.dta.gov.au/help-and-advice/about-digital-service-standard"">Digital Service Standard</a> requirements.</p><p>The Design System ensures WCAG 2.1 AA compliance and provides a familiar experience for citizens across government services. Queensland has adopted AGDS as the standard for citizen-facing applications.</p><p>Use AGDS components rather than building custom UI elements. Contribute improvements back to the Design System community.</p>"
Terraform for Infrastructure,adopt,languages & frameworks,no change,"<p><strong><a href=""https://www.terraform.io/"">Terraform</a></strong> enables Infrastructure as Code for government cloud environments. Codified infrastructure supports audit requirements and ensures consistent, repeatable deployments.</p><p>Develop Terraform modules that encode ISM-compliant configurations for common patterns. State file management requires appropriate security controls - consider <a href=""https://cloud.hashicorp.com/products/terraform"">Terraform Cloud</a> or secure backend configurations.</p><p>Implement policy-as-code using <a href=""https://www.hashicorp.com/sentinel"">Sentinel</a> or <a href=""https://www.openpolicyagent.org/"">Open Policy Agent</a> to prevent deployment of non-compliant infrastructure.</p>"
Power Platform,trial,languages & frameworks,no change,"<p><strong><a href=""https://powerplatform.microsoft.com/"">Microsoft Power Platform</a></strong> (Power Apps, Power Automate, Power BI) enables citizen development and workflow automation within the Microsoft 365 Government environment.</p><p>Power Platform can accelerate delivery of internal applications but requires governance to manage security and data risks. Implement DLP policies and environment controls.</p><p>Establish <a href=""https://learn.microsoft.com/en-us/power-platform/guidance/coe/starter-kit"">Centre of Excellence</a> practices for Power Platform. Balance enablement with appropriate guardrails for data handling and integration.</p>"
Rust for Secure Systems,assess,languages & frameworks,new,"<p><strong><a href=""https://www.rust-lang.org/"">Rust</a></strong> provides memory safety guarantees that eliminate entire classes of security vulnerabilities. For security-critical components, Rust's safety properties align with ISM secure coding requirements.</p><p>Government agencies including the <a href=""https://media.defense.gov/2022/Nov/10/2003112742/-1/-1/0/CSI_SOFTWARE_MEMORY_SAFETY.PDF"">US NSA recommend memory-safe languages</a> for new development. Rust's adoption in security-sensitive contexts is growing.</p><p>We're assessing Rust for security-critical components where memory safety is paramount. Consider the learning curve and ecosystem maturity for your context.</p>"
Microsoft Defender Suite,adopt,tools,no change,"<p><strong><a href=""https://www.microsoft.com/en-au/security/business/microsoft-defender"">Microsoft Defender</a></strong> suite provides endpoint protection, threat detection, and response capabilities integrated with Microsoft 365 Government. The suite addresses multiple Essential Eight strategies.</p><p><a href=""https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/microsoft-defender-endpoint"">Defender for Endpoint</a> provides application control, attack surface reduction, and endpoint detection and response (EDR). Integration with Sentinel enables centralised security operations.</p><p>Configure Defender policies aligned with Essential Eight requirements. Implement automated response playbooks for common threat scenarios.</p>"
Microsoft Sentinel,adopt,tools,moved in,"<p><strong><a href=""https://azure.microsoft.com/en-au/products/microsoft-sentinel"">Microsoft Sentinel</a></strong> provides cloud-native SIEM and SOAR capabilities. Integration with Microsoft 365 and Azure simplifies log collection and enables advanced threat detection.</p><p>Sentinel's fusion detection and UEBA capabilities identify sophisticated attacks across data sources. Built-in connectors simplify integration with government technology stacks.</p><p>Develop Sentinel workbooks for ISM compliance monitoring. Implement automated response playbooks aligned with incident response procedures.</p>"
Qualys / Tenable for Vulnerability Management,adopt,tools,no change,"<p><strong><a href=""https://www.qualys.com/"">Qualys</a> and <a href=""https://www.tenable.com/"">Tenable</a></strong> provide vulnerability scanning capabilities essential for Essential Eight compliance. Regular vulnerability assessment identifies missing patches and misconfigurations.</p><p>Essential Eight Maturity Level 2 requires vulnerability scanning at least fortnightly. Integrate scanning into deployment pipelines for continuous assessment.</p><p>Configure scan policies aligned with ISM control requirements. Establish remediation SLAs based on vulnerability severity and exploitation likelihood.</p>"
CyberArk / Delinea for PAM,adopt,tools,no change,"<p><strong>Privileged Access Management (PAM)</strong> tools like <a href=""https://www.cyberark.com/"">CyberArk</a> and <a href=""https://delinea.com/"">Delinea</a> address Essential Eight requirements for restricting administrative privileges and multi-factor authentication.</p><p>PAM solutions provide credential vaulting, session recording, and just-in-time access for privileged accounts. These capabilities are essential for ISM compliance at higher maturity levels.</p><p>Implement PAM for all administrative access to government systems. Integrate with identity providers and SIEM for comprehensive access governance.</p>"
HashiCorp Vault,trial,tools,no change,"<p><strong><a href=""https://www.vaultproject.io/"">HashiCorp Vault</a></strong> provides secrets management and encryption services. For cloud-native government applications, Vault centralises credential management and provides audit trails.</p><p>Vault supports dynamic secrets, reducing the risk of credential exposure. Integration with Terraform enables secure infrastructure provisioning workflows.</p><p>Consider Vault for applications requiring programmatic secret access. Evaluate against cloud-native alternatives (<a href=""https://aws.amazon.com/secrets-manager/"">AWS Secrets Manager</a>, <a href=""https://azure.microsoft.com/en-au/products/key-vault"">Azure Key Vault</a>) based on your platform strategy.</p>"
GitHub Enterprise / GitLab,adopt,tools,no change,"<p><strong><a href=""https://github.com/enterprise"">GitHub Enterprise</a> and <a href=""https://about.gitlab.com/"">GitLab</a></strong> provide source control and DevSecOps capabilities. Both platforms offer government-specific offerings addressing compliance requirements.</p><p>Implement branch protection, code review requirements, and security scanning in CI/CD pipelines. The platforms support Essential Eight application control through signed commits and protected deployments.</p><p>Configure repository security settings aligned with ISM requirements for software development. Enable <a href=""https://github.com/dependabot"">Dependabot</a> or equivalent for dependency vulnerability monitoring.</p>"
STIG Compliance Tools,trial,tools,new,"<p><strong><a href=""https://public.cyber.mil/stigs/"">Security Technical Implementation Guides (STIGs)</a></strong> provide detailed hardening guidance. Tools like <a href=""https://www.open-scap.org/"">OpenSCAP</a> and SCAP Compliance Checker automate STIG assessment.</p><p>While STIGs originate from US DoD, they provide valuable hardening baselines that align with ISM requirements. Many configurations map directly to ISM controls.</p><p>We're evaluating STIG automation tools for baseline compliance verification. Adapt STIG requirements to Australian Government context and ISM control mapping.</p>"
Splunk Enterprise Security,trial,tools,no change,"<p><strong><a href=""https://www.splunk.com/en_us/products/enterprise-security.html"">Splunk Enterprise Security</a></strong> provides SIEM capabilities with strong analytics and investigation features. The platform has established presence in Australian Government security operations centres.</p><p>Splunk's search capabilities and app ecosystem support diverse log analysis use cases. Consider deployment options including Splunk Cloud for reduced operational overhead.</p><p>Evaluate Splunk against Microsoft Sentinel based on existing investments, log sources, and operational requirements. Both platforms can meet government security monitoring needs.</p>"
ACSC Cyber Security Tools,adopt,tools,no change,"<p><strong><a href=""https://www.cyber.gov.au/"">ACSC Cyber Security Tools</a></strong> including the <a href=""https://www.cyber.gov.au/resources-business-and-government/essential-cyber-security/essential-eight/essential-eight-assessment-process-guide"">Essential Eight Assessment Tool</a> and various hardening guides provide authoritative guidance for Australian Government cyber security.</p><p>The Essential Eight Maturity Model Assessment Tool enables self-assessment against maturity levels. ACSC publications provide implementation guidance aligned with ISM controls.</p><p>Regularly review <a href=""https://www.cyber.gov.au/about-us/view-all-content/alerts-and-advisories"">ACSC advisories</a> and implement recommended mitigations. Subscribe to ACSC alerts for threat intelligence relevant to government systems.</p>"
