name,ring,quadrant,status,description
Kotlin Multiplatform for Mobile Health,assess,languages & frameworks,new,"<p><strong>Kotlin Multiplatform</strong> enables sharing business logic across iOS and Android while maintaining native UIs. For healthcare applications, this approach can ensure consistent data handling and validation across platforms.</p><p>The ability to share clinical logic implementations reduces the risk of platform-specific bugs in critical healthcare calculations.</p><p>We're assessing Kotlin Multiplatform for scenarios where clinical logic consistency is paramount and native UI integration is preferred over cross-platform UI frameworks.</p>"
HAPI FHIR,adopt,tools,no change,"<p><strong>HAPI FHIR</strong> is the leading open-source FHIR implementation in Java. It provides a complete FHIR server, client library, and validation tools for building healthcare interoperability solutions.</p><p>For organisations building FHIR infrastructure, HAPI FHIR provides a production-ready foundation. The server supports multiple backends including JPA/Hibernate for persistence.</p><p>Consider HAPI FHIR for self-hosted FHIR capabilities. For managed services, evaluate cloud provider offerings like AWS HealthLake or Azure Health Data Services.</p>"
Microsoft Healthcare Bot,trial,tools,new,"<p><strong>Microsoft Healthcare Bot</strong> provides an AI-powered virtual health assistant platform. Built on Azure, it enables building conversational experiences for symptom checking, appointment scheduling, and health information.</p><p>The platform includes medical intelligence capabilities, including symptom assessment based on clinical protocols. HIPAA compliance is available with appropriate Azure configurations.</p><p>We're trialling Healthcare Bot for patient engagement scenarios. Ensure clear disclosure that users are interacting with an AI system, not a healthcare provider.</p>"
Synthea,trial,tools,no change,"<p><strong>Synthea</strong> generates realistic but synthetic patient data in FHIR and other formats. This enables development and testing of healthcare applications without using real patient data.</p><p>For development environments, demos, and training, Synthea provides high-quality test data that mimics real clinical patterns without privacy concerns.</p><p>Customise Synthea configurations to match your target patient populations and clinical scenarios for more relevant test data.</p>"
OHDSI OMOP,trial,tools,moved in,"<p><strong>OHDSI OMOP</strong> (Observational Medical Outcomes Partnership) provides a common data model for observational healthcare data. It enables standardised analytics across diverse healthcare datasets.</p><p>The OHDSI community provides open-source tools for data transformation (ETL), analysis, and visualisation on OMOP-formatted data.</p><p>Consider OMOP for research and analytics use cases where data standardisation across sources is required. The learning curve is significant but the community support is strong.</p>"
Postman for FHIR Testing,adopt,tools,no change,"<p><strong>Postman</strong> with FHIR collections provides an excellent environment for testing healthcare APIs. Pre-built FHIR request collections simplify API exploration and testing.</p><p>For development and debugging of FHIR integrations, Postman's environment variables and collection runners enable comprehensive API testing.</p><p>Maintain Postman collections for your FHIR APIs as living documentation and regression test suites.</p>"
Clinical Quality Language (CQL),trial,tools,no change,"<p><strong>Clinical Quality Language (CQL)</strong> is a standard for expressing clinical knowledge in a computable format. It's used for quality measures, clinical decision support, and health analytics.</p><p>CQL enables authoring clinical logic that can be executed against FHIR and QDM data models. The language is increasingly required for electronic Clinical Quality Measures (eCQMs).</p><p>Invest in CQL expertise if your organisation develops clinical decision support or quality measures. The CQL ecosystem includes authoring tools and execution engines.</p>"
OpenMRS,assess,tools,no change,"<p><strong>OpenMRS</strong> is an open-source medical record system designed for resource-constrained environments. It's widely deployed in global health settings and provides a flexible platform for clinical data management.</p><p>For global health initiatives and research in underserved regions, OpenMRS provides a proven, customisable EHR foundation.</p><p>Evaluate OpenMRS for specific global health use cases. For standard commercial healthcare applications, consider commercial EHR integrations instead.</p>"
Docker for Healthcare Workloads,adopt,tools,no change,"<p><strong>Docker</strong> enables containerised deployment of healthcare applications with consistent environments across development and production. Container isolation supports multi-tenant healthcare platforms.</p><p>For HIPAA-compliant deployments, container orchestration platforms provide security boundaries and audit capabilities required for healthcare workloads.</p><p>Implement proper secrets management, network policies, and logging for healthcare containers. Consider managed Kubernetes services for production healthcare workloads.</p>"
Terraform for Healthcare Infrastructure,adopt,tools,no change,"<p><strong>Terraform</strong> enables Infrastructure as Code for healthcare cloud environments. Codified infrastructure supports compliance requirements by providing reproducible, auditable deployments.</p><p>Healthcare infrastructure requires specific compliance configurations - HIPAA-eligible services, encryption settings, and network controls. Terraform modules can encode these requirements consistently.</p><p>Develop reusable Terraform modules for compliant healthcare infrastructure patterns in your organisation.</p>"
